,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,row_sd
20190101,0.06072912,-0.130050152,-0.111256315,-0.13267202,-0.377864088,-0.239603865,-0.652794701,0.016768817,0.229926438,0.393119922,-0.158717102,0.244552829,-0.052983024,0.187570535,0.255219025,0.191572569,0.001063801,0.109701127,-0.259991945,0.073591965,-0.163323741,-0.08979914,-0.090317219,-0.086923192,0.094032173,0.039804054,0.103640241,0.046112626,0.025656481,0.108376894,0.188756256,0.123825222,0.171141042,0.169853139,0.128314438,0.306549981,0.314878905,0.119193622,0.100853338,-0.032674814,0.181016405,0.04209155,0.221261273,0.089928753,0.049371451,-0.07818668,-0.104751131,-0.145721237,0.154984175
20190102,0.002345902,-0.151456443,-0.163064659,0.088450898,-0.093850347,-0.054003059,0.330145636,-0.076904601,0.016408194,0.143516042,-0.23278312,-0.133767226,0.139770356,0.164118829,0.30497424,0.265113055,0.195693547,0.227541764,0.072115846,0.134645595,0.302159161,-0.051283866,-0.097052905,0.128344705,0.82088566,0.365637972,0.276616334,0.285355592,0.212378195,0.242812616,0.325258281,0.122565297,0.221017435,0.46767904,0.117225019,0.405470037,0.427940472,0.194293923,0.184819896,0.078535958,0.024918192,0.135869286,0.298990226,0.194048097,0.248540285,0.112661889,0.067414286,-0.000390713,0.152586293
20190103,0.153277272,0.054000729,-0.027180702,0.061849506,-0.019461892,0.072593819,0.021127426,0.098931002,0.375253462,0.201435735,-1.070094333,-0.501388033,0.224421713,0.299450911,0.16880687,0.09079978,-0.238987658,-0.345251849,-0.154282688,-0.264347747,-0.240211835,-0.031313745,0.000445855,0.015659207,-0.01972652,0.119870705,0.061466502,0.045715889,-0.040967368,0.123163557,0.19404586,0.178306725,0.138501288,0.183141934,0.179274685,0.709330265,0.325993869,0.320508256,0.420622887,0.200281208,0.097975073,0.232664967,0.089677552,0.278018353,0.067440983,0.031150018,0.022826066,-0.042356402,0.184559372
20190104,0.0620766,-0.099737382,-0.448736358,-0.780020366,-0.039346852,-0.008621193,0.124706134,0.143342179,0.367984795,0.212312616,0.105646676,0.217389771,-0.042678015,0.091711371,0.17100432,0.319360122,0.112717227,0.282681317,-0.209424121,-0.266915917,-0.386310214,-0.368545567,-0.20190698,0.131008309,-0.013666164,0.134227965,0.188447151,0.235322017,0.39002377,0.236927905,0.198544511,0.852400839,0.819074617,0.16586204,0.426070283,1.169274496,1.129091565,0.167390249,0.335867533,0.051975881,0.199802922,0.11963665,0.244785155,0.086006496,0.122542697,0.177260258,0.041999972,0.272643531,0.223763705
20190105,0.061590547,-0.227141698,0.674989129,1.008585492,-0.195174147,0.198921975,0.177990482,-0.250882809,-0.172307218,-0.10181413,0.278066674,1.035467456,0.419846858,0.248547087,0.060516927,-0.005488783,0.86575444,0.607682751,0.484752163,0.384801263,0.297429288,0.060458887,-0.090806881,-0.041605857,0.098926127,0.152991493,0.398331027,0.619280419,0.573474809,0.260910586,0.322336754,1.221754314,0.172300988,1.012705244,0.738810943,1.688177437,0.702902421,0.330590815,0.79057982,0.232987784,0.222482777,0.225768428,0.219781842,0.255282605,0.699584979,0.128650849,-0.04111422,-0.126271726,0.22799785
20190106,0.041702083,-0.229991568,-0.006433585,0.166459595,-0.192220636,0.082491212,0.268188583,0.03342024,0.087207539,-0.020768426,-0.011031732,0.196570019,0.034300164,0.15165234,0.437549687,0.268990083,-0.114497469,0.024465631,0.002238012,0.076749861,-0.186722619,-0.216296896,-0.192347081,-0.201120683,0.285466976,0.097659816,0.001985053,0.190033113,0.220495786,0.210594999,0.085643474,0.080326511,0.149848675,0.1186099,0.165187708,0.583019581,0.338300227,0.027123029,0.103370199,-0.042225398,0.2125995,0.303598443,0.294539862,0.151609115,0.227753792,0.056897093,0.096179917,-0.040818701,0.157745337
20190107,0.362726575,0.024559401,-0.228705518,-0.026717625,0.000112169,0.170771474,0.075786885,-0.004351298,0.161794437,0.046350665,-0.017025643,0.101661188,-0.181199852,0.044352129,0.151332734,0.293077168,-0.272711005,0.319181605,-0.279908388,-0.343072461,-0.39940909,-0.367209496,0.088480906,-0.319937326,-0.162834284,-0.098297773,0.106500673,0.327295243,0.794143992,0.105770585,0.171583439,0.220646921,0.211547624,0.93700143,0.76041892,1.160575935,0.815246947,0.504861914,0.599850211,0.335528621,0.412343851,1.158562733,1.196335469,1.05651489,0.288682088,1.064468155,0.253148929,0.261075012,0.243370631
20190108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190109,0.206381752,0.235981535,0.15083552,0.125969811,0.11240704,0.031393954,0.042944892,0.023392731,-0.011429078,0.354728488,0.435209267,0.073069905,0.262258889,0.607722631,0.210214015,0.204913546,-0.030161062,0.077968606,-0.047958433,0.03863189,0.246158474,0.047290892,0.159478109,0.251628047,0.077477039,0.186315043,0.052169554,0.120036213,0.301244232,0.071115258,0.056811748,0.67110339,-0.183253975,0.0144034,0.199113445,-0.336777915,-0.363271858,-0.128161656,-0.139181372,-0.445580063,-0.218944097,-0.146123122,-0.141132718,0.074607332,0.050908355,0.101453773,0.004865058,0.050235881,0.137546467
20190110,-0.020953483,0.087222021,0.118767558,-0.042540299,0.011299042,0.046475462,-0.035638811,0.15543999,0.096727503,0.295838338,0.158967896,0.109538831,0.198711748,0.648877181,0.285304108,0.153973739,0.013755146,0.052681038,-0.007685915,0.064060274,0.144251965,0.287718882,0.095808102,0.205732247,0.097719272,0.066895597,0.114131008,0.083877529,0.095432422,0.009640607,0.13821447,1.086991841,-0.147359414,0.012444278,0.464670005,-0.022325531,-0.140743291,0.059323109,0.149314891,-0.032531371,0.234211642,0.468596788,0.028017211,0.060001942,-0.026742139,-0.03209858,0.010814234,-0.015303392,0.119243873
